date,day_of_week,time_of_day,duration_minutes,initiator,satisfaction_rating,cycle_day,activities,notes
2025-11-08,Saturday,night,75,both,9,12,"kissing;oral_giving;oral_receiving;penetrative;toys","new vibrator - holy shit"
2025-11-12,Wednesday,night,20,them,6,16,"kissing;manual;penetrative","both tired but wanted to connect"
2025-11-15,Saturday,morning,55,me,9,19,"kissing;oral_receiving;penetrative","lazy morning - no kids - took our time"
2025-11-18,Tuesday,night,30,them,7,22,"kissing;penetrative","quick but good - he did that thing with his hands after"
2025-11-22,Saturday,night,90,both,10,26,"kissing;oral_giving;oral_receiving;manual;penetrative;toys;massage","date night - candles - felt like a goddess"
2025-11-25,Tuesday,morning,15,me,5,1,"kissing;manual","period started - low energy but wanted closeness"
2025-11-29,Saturday,evening,60,both,8,5,"kissing;oral_receiving;penetrative;roleplay","end of period - felt ravenous"
2025-12-03,Wednesday,night,25,them,6,9,"kissing;penetrative","midweek maintenance - fine not great"
2025-12-06,Saturday,morning,50,me,9,12,"kissing;oral_giving;oral_receiving;penetrative","woke up wanting him - morning light"
2025-12-07,Sunday,night,40,both,8,13,"kissing;manual;penetrative;toys","round two weekend - new lingerie"
2025-12-10,Wednesday,evening,35,me,8,16,"kissing;oral_receiving;penetrative","ovulating - could not stop touching him"
2025-12-13,Saturday,night,80,both,10,19,"kissing;oral_giving;oral_receiving;penetrative;massage;roleplay","his birthday - pulled out all the stops"
2025-12-17,Wednesday,night,20,them,5,23,"kissing;penetrative","stressed about holidays - couldn't get out of my head"
2025-12-21,Saturday,morning,45,both,9,27,"kissing;oral_receiving;manual;penetrative","slow and sweet - felt so safe"
2025-12-24,Tuesday,night,60,me,8,2,"kissing;oral_giving;oral_receiving;penetrative;toys","christmas eve - kids asleep - finally"
2025-12-28,Saturday,night,70,both,9,6,"kissing;oral_receiving;penetrative;roleplay;massage","post-holiday decompression sex - needed this"
2026-01-01,Wednesday,morning,30,both,7,10,"kissing;manual;penetrative","new years morning - hungover but happy"
2026-01-04,Saturday,night,85,me,10,13,"kissing;oral_giving;oral_receiving;penetrative;toys;massage","put on the maison close set - his face - I died"
2026-01-07,Tuesday,night,25,them,6,16,"kissing;penetrative","quick weeknight - nice but rushed"
2026-01-11,Saturday,morning,55,both,9,20,"kissing;oral_receiving;manual;penetrative","morning sex is our thing - confirmed by data now"
2026-01-15,Wednesday,night,20,them,5,24,"kissing;manual","luteal phase - bloated and irritable - he was patient"
2026-01-18,Saturday,evening,65,me,9,27,"kissing;oral_giving;oral_receiving;penetrative;roleplay","I initiated in the kitchen - ended up everywhere"
2026-01-22,Wednesday,night,30,both,7,3,"kissing;penetrative;manual","period sex - towel down - worth it"
2026-01-25,Saturday,night,80,both,10,6,"kissing;oral_giving;oral_receiving;penetrative;toys;massage;roleplay","3 month anniversary of tracking - celebrated accordingly"
2026-01-28,Tuesday,morning,35,me,8,9,"kissing;oral_receiving;penetrative","woke up from a dream about him - acted on it"
